College,Department,Prefix,Number,Title,Credits,Attributes
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7980,Dissertation,2-30,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,2214,Mass Communications Design and Content Creation,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3008,Principles of Advertising,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3101,Advertising Creativity,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3300,Media Planning for Advertising,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3500,Advertising Research,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4204,Advanced Advertising Creativity,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4301,Advanced Media Strategy,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4310,Digital Media,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4600,Advertising Management,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4710,Portfolio Building,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4800,Advertising Campaigns,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,5005,Advertising Planning,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,5315,Interactive Advertising,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,5508,Return on Advertising Investment,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,5825,Advertising Proseminar,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,6305,Advertising Media Strategy,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,6505,Advertising Research,3,
College of Arts and Sciences: School of Social Sciences,Zimmerman School of Advertising and Mass Communications,ADV,6602,Advanced Advertising Management,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,2000,Introduction to the Black Experience,3," 6AC, TGED"
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,2380,History and Theory of Genocide,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,3110,Key Issues in Black Thought,3," CLB, SD10, TGEE"
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,3932,Contemporary Issues in Africana Studies,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4335,Black Women in America,3, 6AC
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4350,African American Community Research,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4430,Afro-Diasporic Literature and Political Movements,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4713,Haiti: Legacy of Resilience and Freedom,3," GCPC, SD01, SD03, SD04, SD08, SD11"
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4900,Directed Readings,2-3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4905,Independent Study,1-3, SD10
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4931,Selected Topics in Africana Studies,1-3,
